2026-07-21 23:29:31,770 | INFO | logging_service | ============================================================
2026-07-21 23:29:31,770 | INFO | logging_service | Application Started
2026-07-21 23:47:44,038 | INFO | logging_service | ============================================================
2026-07-21 23:47:44,038 | INFO | logging_service | Application Started
2026-07-21 23:48:00,421 | INFO | callbacks | Starting scan.
2026-07-21 23:48:00,422 | INFO | scan_engine | ============================================================
2026-07-21 23:48:00,422 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:48:00,423 | INFO | scan_engine | Validation completed.
2026-07-21 23:48:00,423 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-21 23:48:00,453 | INFO | file_service | Files discovered: 30
2026-07-21 23:48:00,453 | INFO | scan_engine | Discovered 30 file(s).
2026-07-21 23:48:01,446 | INFO | scan_engine | Duplicate groups found: 4
2026-07-21 23:48:01,447 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:48:01,447 | INFO | callbacks | Duplicate groups found: 4
2026-07-21 23:48:41,092 | INFO | callbacks | Starting scan.
2026-07-21 23:48:41,094 | INFO | scan_engine | ============================================================
2026-07-21 23:48:41,094 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:48:41,094 | INFO | scan_engine | Validation completed.
2026-07-21 23:48:41,094 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-21 23:48:41,114 | INFO | file_service | Files discovered: 30
2026-07-21 23:48:41,114 | INFO | scan_engine | Discovered 30 file(s).
2026-07-21 23:48:41,114 | INFO | scan_engine | Duplicate groups found: 4
2026-07-21 23:48:41,114 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:48:41,114 | INFO | callbacks | Duplicate groups found: 4
2026-07-21 23:49:07,218 | INFO | callbacks | Starting scan.
2026-07-21 23:49:07,219 | INFO | scan_engine | ============================================================
2026-07-21 23:49:07,219 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:49:07,219 | INFO | scan_engine | Validation completed.
2026-07-21 23:49:07,219 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop
2026-07-21 23:49:07,425 | INFO | file_service | Files discovered: 153
2026-07-21 23:49:07,425 | INFO | scan_engine | Discovered 153 file(s).
2026-07-21 23:49:07,425 | INFO | scan_engine | Duplicate groups found: 23
2026-07-21 23:49:07,425 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:49:07,425 | INFO | callbacks | Duplicate groups found: 23
2026-07-21 23:49:09,499 | INFO | callbacks | Starting scan.
2026-07-21 23:49:09,501 | INFO | scan_engine | ============================================================
2026-07-21 23:49:09,501 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:49:09,501 | INFO | scan_engine | Validation completed.
2026-07-21 23:49:09,501 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop
2026-07-21 23:49:09,596 | INFO | file_service | Files discovered: 153
2026-07-21 23:49:09,596 | INFO | scan_engine | Discovered 153 file(s).
2026-07-21 23:49:09,596 | INFO | scan_engine | Duplicate groups found: 23
2026-07-21 23:49:09,596 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:49:09,596 | INFO | callbacks | Duplicate groups found: 23
2026-07-21 23:49:23,724 | INFO | logging_service | ============================================================
2026-07-21 23:49:23,724 | INFO | logging_service | Application Started
2026-07-21 23:49:35,347 | INFO | callbacks | Starting scan.
2026-07-21 23:49:35,348 | INFO | scan_engine | ============================================================
2026-07-21 23:49:35,348 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:49:35,349 | INFO | scan_engine | Validation completed.
2026-07-21 23:49:35,349 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop
2026-07-21 23:49:35,399 | INFO | file_service | Files discovered: 153
2026-07-21 23:49:35,399 | INFO | scan_engine | Discovered 153 file(s).
2026-07-21 23:49:35,399 | INFO | scan_engine | Duplicate groups found: 23
2026-07-21 23:49:35,399 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:49:35,403 | INFO | callbacks | Duplicate groups found: 23
2026-07-21 23:50:28,288 | INFO | callbacks | Starting scan.
2026-07-21 23:50:28,290 | INFO | scan_engine | ============================================================
2026-07-21 23:50:28,290 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:50:28,291 | INFO | scan_engine | Validation completed.
2026-07-21 23:50:28,292 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop
2026-07-21 23:50:28,393 | INFO | file_service | Files discovered: 153
2026-07-21 23:50:28,393 | INFO | scan_engine | Discovered 153 file(s).
2026-07-21 23:50:29,874 | INFO | scan_engine | Duplicate groups found: 22
2026-07-21 23:50:29,874 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:50:29,874 | INFO | callbacks | Duplicate groups found: 22
2026-07-21 23:50:35,574 | INFO | callbacks | Starting scan.
2026-07-21 23:50:35,577 | INFO | scan_engine | ============================================================
2026-07-21 23:50:35,578 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:50:35,578 | INFO | scan_engine | Validation completed.
2026-07-21 23:50:35,578 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop
2026-07-21 23:50:35,693 | INFO | file_service | Files discovered: 153
2026-07-21 23:50:35,693 | INFO | scan_engine | Discovered 153 file(s).
2026-07-21 23:50:35,819 | INFO | scan_engine | Duplicate groups found: 22
2026-07-21 23:50:35,819 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:50:35,825 | INFO | callbacks | Duplicate groups found: 22
2026-07-21 23:51:24,760 | INFO | logging_service | ============================================================
2026-07-21 23:51:24,761 | INFO | logging_service | Application Started
2026-07-21 23:51:38,955 | INFO | callbacks | Starting scan.
2026-07-21 23:51:38,956 | INFO | scan_engine | ============================================================
2026-07-21 23:51:38,956 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:51:38,957 | INFO | scan_engine | Validation completed.
2026-07-21 23:51:38,957 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-21 23:51:38,976 | INFO | file_service | Files discovered: 30
2026-07-21 23:51:38,976 | INFO | scan_engine | Discovered 30 file(s).
2026-07-21 23:51:39,019 | INFO | scan_engine | Duplicate groups found: 4
2026-07-21 23:51:39,019 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:51:39,020 | INFO | callbacks | Duplicate groups found: 4
2026-07-21 23:51:50,688 | INFO | callbacks | Starting scan.
2026-07-21 23:51:50,690 | INFO | scan_engine | ============================================================
2026-07-21 23:51:50,690 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:51:50,691 | INFO | scan_engine | Validation completed.
2026-07-21 23:51:50,691 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-21 23:51:50,716 | INFO | file_service | Files discovered: 30
2026-07-21 23:51:50,716 | INFO | scan_engine | Discovered 30 file(s).
2026-07-21 23:51:50,716 | INFO | scan_engine | Duplicate groups found: 4
2026-07-21 23:51:50,717 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:51:50,719 | INFO | callbacks | Duplicate groups found: 4
2026-07-21 23:51:51,472 | INFO | callbacks | Starting scan.
2026-07-21 23:51:51,473 | INFO | scan_engine | ============================================================
2026-07-21 23:51:51,474 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:51:51,474 | INFO | scan_engine | Validation completed.
2026-07-21 23:51:51,475 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-21 23:51:51,496 | INFO | file_service | Files discovered: 30
2026-07-21 23:51:51,496 | INFO | scan_engine | Discovered 30 file(s).
2026-07-21 23:51:51,497 | INFO | scan_engine | Duplicate groups found: 4
2026-07-21 23:51:51,497 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:51:51,499 | INFO | callbacks | Duplicate groups found: 4
2026-07-21 23:51:51,703 | INFO | callbacks | Starting scan.
2026-07-21 23:51:51,705 | INFO | scan_engine | ============================================================
2026-07-21 23:51:51,705 | INFO | scan_engine | Starting duplicate scan.
2026-07-21 23:51:51,706 | INFO | scan_engine | Validation completed.
2026-07-21 23:51:51,707 | INFO | file_service | Scanning folder: C:\Users\91960\Desktop\Assignments
2026-07-21 23:51:51,727 | INFO | file_service | Files discovered: 30
2026-07-21 23:51:51,727 | INFO | scan_engine | Discovered 30 file(s).
2026-07-21 23:51:51,728 | INFO | scan_engine | Duplicate groups found: 4
2026-07-21 23:51:51,728 | INFO | scan_engine | Duplicate scan completed.
2026-07-21 23:51:51,729 | INFO | callbacks | Duplicate groups found: 4
2026-07-21 23:51:52,066 | INFO | callbacks | Starting scan.
